DEVICE,CGD,CGS,GDS,GM,VBS,VDS,VDSAT,VGS,VTH
XDUT:XMN_DIODE:M0,1.97376644e-17,-2.76809275e-14,7.85826810e-06,1.10912603e-03,-4.19999997e-06,8.20964517e-01,8.21550794e-02,8.20968717e-01,7.13148326e-01
XDUT:XMN_IN_N:M0,-9.22580483e-15,-2.79324135e-14,6.98961611e-04,5.14112618e-04,-6.20816557e-01,7.08511633e-02,9.59370527e-02,1.02918344e+00,9.01077370e-01
XDUT:XMN_IN_P:M0,3.56561385e-17,-2.99724137e-14,7.33921142e-06,1.30294798e-03,-6.20819119e-01,1.71928742e+00,9.74967710e-02,1.02918088e+00,8.98607706e-01
XDUT:XMN_TAIL:M0,1.30360636e-17,-2.76736859e-14,8.96759915e-06,1.09464789e-03,-4.12987973e-06,6.20805448e-01,8.20169456e-02,8.20968787e-01,7.13385479e-01
XDUT:XMP_CS:M0,2.31511808e-17,-3.82513378e-14,1.35360477e-06,4.24285526e-04,-1.91796431e-06,2.60832559e+00,1.05134413e-01,9.59886134e-01,7.86769623e-01
XDUT:XMP_REF:M0,1.20260839e-17,-3.82715236e-14,2.25121027e-06,4.02842477e-04,-1.80358332e-06,9.59884445e-01,1.04281854e-01,9.59886249e-01,7.88267045e-01
