V(G),I(V_VSRC_D),I(V_VSRC_G)
1.11000000e+00,-2.29832814e-03,2.25036106e-42
1.12000000e+00,-2.37123129e-03,2.17688441e-42
1.13000000e+00,-2.44470836e-03,2.10565322e-42
1.14000000e+00,-2.51873988e-03,2.03656945e-42
1.15000000e+00,-2.59330702e-03,1.96953797e-42
1.16000000e+00,-2.66839156e-03,1.90446684e-42
1.17000000e+00,-2.74397584e-03,1.84126724e-42
1.18000000e+00,-2.82004276e-03,1.77985359e-42
1.19000000e+00,-2.89657573e-03,1.72014346e-42
1.20000000e+00,-2.97355869e-03,1.66205758e-42
1.21000000e+00,-3.05097599e-03,1.60551973e-42
1.22000000e+00,-3.12881247e-03,1.55045674e-42
1.23000000e+00,-3.20705337e-03,1.49679829e-42
1.24000000e+00,-3.28568434e-03,1.44447689e-42
1.25000000e+00,-3.36469141e-03,1.39342772e-42
1.26000000e+00,-3.44406097e-03,1.34358861e-42
1.27000000e+00,-3.52377975e-03,1.29489980e-42
1.28000000e+00,-3.60383479e-03,1.24730393e-42
1.29000000e+00,-3.68421346e-03,1.20074588e-42
1.30000000e+00,-3.76490342e-03,1.15517270e-42
1.31000000e+00,-3.84589258e-03,1.11053351e-42
1.32000000e+00,-3.92716913e-03,1.06677938e-42
1.33000000e+00,-4.00872151e-03,1.02386320e-42
1.34000000e+00,-4.09053837e-03,9.81739717e-43
1.35000000e+00,-4.17260860e-03,9.40365280e-43
1.36000000e+00,-4.25492129e-03,8.99697954e-43
1.37000000e+00,-4.33746572e-03,8.59697259e-43
1.38000000e+00,-4.42023135e-03,8.20324258e-43
1.39000000e+00,-4.50320781e-03,7.81541426e-43
1.40000000e+00,-4.58638492e-03,7.43312607e-43
1.41000000e+00,-4.66975260e-03,7.05602958e-43
1.42000000e+00,-4.75330094e-03,6.68378962e-43
1.43000000e+00,-4.83702017e-03,6.31608324e-43
1.44000000e+00,-4.92090061e-03,5.95260016e-43
1.45000000e+00,-5.00493271e-03,5.59304207e-43
