freq_hz,gain_mag,gain_db
2.238721140000000105e+02,9.999990103014941845e-01,-8.596416250402503969e-06
2.290867650000000140e+02,9.999989639257277352e-01,-8.999231447667663131e-06
2.344228819999999871e+02,9.999989157472639612e-01,-9.417704710590473434e-06
2.398832920000000115e+02,9.999988638696808430e-01,-9.868308172500836633e-06
2.454708919999999921e+02,9.999988104014114754e-01,-1.033272819942355172e-05
2.511886430000000132e+02,9.999987544559980623e-01,-1.081866447774709752e-05
2.570395780000000059e+02,9.999986961523414930e-01,-1.132508424973516968e-05
2.630267989999999827e+02,9.999986346149426497e-01,-1.185959201806440963e-05
2.691534800000000018e+02,9.999985699741613665e-01,-1.242105549516922574e-05
2.754228699999999890e+02,9.999985023665103334e-01,-1.300828895034117595e-05
2.818382930000000215e+02,9.999984319349437545e-01,-1.362005070242036927e-05
2.884031499999999824e+02,9.999983578291433695e-01,-1.426372653928083392e-05
2.951209230000000048e+02,9.999982812058274551e-01,-1.492926932344894794e-05
3.019951720000000250e+02,9.999982002291435412e-01,-1.563262510058243006e-05
3.090295429999999897e+02,9.999981150709313926e-01,-1.637230129582256224e-05
3.162277659999999742e+02,9.999980259111415082e-01,-1.714673488518843677e-05
3.235936570000000074e+02,9.999979329382336912e-01,-1.795428893354029243e-05
3.311311210000000074e+02,9.999978353494932692e-01,-1.880193575626214826e-05
3.388441559999999981e+02,9.999977333515602806e-01,-1.968788050845486772e-05
3.467368500000000040e+02,9.999976271607819989e-01,-2.061024402883771271e-05
3.548133889999999724e+02,9.999975150037094807e-01,-2.158443034907783751e-05
3.630780550000000062e+02,9.999973981175808158e-01,-2.259969294514062774e-05
3.715352290000000153e+02,9.999972747507605009e-01,-2.367124638554785293e-05
3.801893959999999879e+02,9.999971471633978259e-01,-2.477945922780725807e-05
3.890451449999999909e+02,9.999970126278294735e-01,-2.594802373924102093e-05
3.981071709999999939e+02,9.999968714292883920e-01,-2.717446243454541672e-05
4.073802779999999757e+02,9.999967238664322355e-01,-2.845618122231307888e-05
4.168693830000000276e+02,9.999965692519375837e-01,-2.979915016287081628e-05
4.265795190000000048e+02,9.999964079132657169e-01,-3.120052498187019717e-05
