time_s,vin_v,vout_v
1.028718829999999954e-07,1.000000000000000000e+00,2.369014029999999896e-03
1.048041490000000012e-07,1.000000000000000000e+00,4.294842129999999585e-03
1.086686820000000030e-07,1.000000000000000000e+00,8.135356220000000693e-03
1.163977470000000032e-07,1.000000000000000000e+00,1.577203040000000125e-02
1.318558769999999902e-07,1.000000000000000000e+00,3.086966390000000018e-02
1.627721369999999907e-07,1.000000000000000000e+00,6.037544549999999954e-02
2.246046579999999954e-07,1.000000000000000000e+00,1.167324520000000004e-01
2.864371790000000001e-07,1.000000000000000000e+00,1.697092659999999975e-01
3.482697000000000047e-07,1.000000000000000000e+00,2.195086250000000128e-01
4.101022200000000058e-07,1.000000000000000000e+00,2.663211079999999731e-01
4.719347410000000104e-07,1.000000000000000000e+00,3.103258600000000089e-01
5.337672620000000151e-07,1.000000000000000000e+00,3.516912870000000191e-01
5.955997820000000162e-07,1.000000000000000000e+00,3.905756879999999764e-01
6.574323030000000208e-07,1.000000000000000000e+00,4.271278729999999912e-01
7.192648240000000255e-07,1.000000000000000000e+00,4.614877219999999891e-01
7.810973440000000265e-07,1.000000000000000000e+00,4.937867289999999798e-01
8.429298650000000312e-07,1.000000000000000000e+00,5.241485000000000172e-01
9.047623860000000359e-07,1.000000000000000000e+00,5.526892249999999507e-01
9.665949070000000406e-07,1.000000000000000000e+00,5.795181280000000212e-01
1.028427429999999947e-06,1.000000000000000000e+00,6.047378820000000044e-01
1.090259949999999948e-06,1.000000000000000000e+00,6.284450000000000314e-01
1.152092469999999949e-06,1.000000000000000000e+00,6.507302069999999494e-01
1.213924989999999950e-06,1.000000000000000000e+00,6.716787870000000549e-01
1.337590029999999952e-06,1.000000000000000000e+00,7.099163200000000451e-01
1.461255069999999954e-06,1.000000000000000000e+00,7.437005650000000356e-01
1.584920109999999956e-06,1.000000000000000000e+00,7.735501689999999542e-01
1.708585159999999994e-06,1.000000000000000000e+00,7.999233749999999921e-01
1.832250199999999996e-06,1.000000000000000000e+00,8.232250570000000378e-01
1.955915239999999999e-06,1.000000000000000000e+00,8.438129370000000407e-01
2.079580280000000001e-06,1.000000000000000000e+00,8.620030749999999520e-01
2.203245320000000003e-06,1.000000000000000000e+00,8.780747199999999753e-01
2.326910360000000005e-06,1.000000000000000000e+00,8.922746000000000288e-01
2.450575400000000007e-06,1.000000000000000000e+00,9.048207090000000008e-01
2.574240449999999834e-06,1.000000000000000000e+00,9.159056500000000156e-01
2.821570529999999838e-06,1.000000000000000000e+00,9.344156700000000315e-01
3.068900609999999842e-06,1.000000000000000000e+00,9.488514470000000145e-01
3.316230689999999846e-06,1.000000000000000000e+00,9.601097629999999494e-01
3.563560780000000098e-06,1.000000000000000000e+00,9.688900089999999965e-01
3.810890860000000102e-06,1.000000000000000000e+00,9.757376340000000203e-01
4.058220939999999683e-06,1.000000000000000000e+00,9.810780270000000192e-01
4.552881110000000363e-06,1.000000000000000000e+00,9.885820119999999545e-01
5.542201440000000204e-06,1.000000000000000000e+00,9.961396150000000338e-01
6.531521770000000045e-06,1.000000000000000000e+00,9.986948159999999852e-01
7.520842099999999887e-06,1.000000000000000000e+00,9.995587209999999834e-01
8.510162430000000575e-06,1.000000000000000000e+00,9.998508050000000091e-01
1.048880310000000008e-05,1.000000000000000000e+00,9.999991990000000053e-01
1.246744380000000076e-05,1.000000000000000000e+00,9.999999960000000021e-01
1.446744380000000024e-05,1.000000000000000000e+00,1.000000000000000000e+00
1.646744380000000142e-05,1.000000000000000000e+00,1.000000000000000000e+00
1.846744379999999921e-05,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000164e-05,1.000000000000000000e+00,1.000000000000000000e+00
